RELATÓRIO DE VAGAS - JOINVILLE/SC
Período: 22/06/2026 a 29/06/2026
Gerado em: 29/06/2026 17:17
Total de vagas: 42


🔴 ÚLTIMOS 7 DIAS - 42 vagas

Período;Categoria;Mês Ref.;Data;Hora;Cargo;Empresa;Cidade;Bairro;Salário;Horário;Contrato;Escolaridade;Email;WhatsApp;Telefone;Benefícios;Requisitos;Atividades;Experiência;Link Vaga;Link Mensagem;Fonte;Descrição
ÚLTIMOS 7 DIAS;Administrativo;JUNE/2026;25/06/2026;20:46;Auxiliar Administrativo;;Joinville/SC;Itaum;R$ 2.280;;;;;47 99678-9680;;Vaga presencial em Joinville/SCContato +55 47 99678-9680;com:* Boa comunicação* Organização e atenção aos detalhes* Responsabilidade com prazos e processos* Facilidade para trabalhar em equipe Local: Bairro Itaum – Joinville/SC Horário: Segunda a sexta, das 08h30 às 17h30, com 1 hora de almoçoSalário: R$ 2.280 + benefícios Vaga presencial em Joinville/SCC;* Emissão de notas fiscais* Controle e organização de estoque* Recebimento de mercadorias e transportadoras* Apoio em demandas administrativas* Atendimento de SAC e suporte ao clienteBuscamos alguém com:* Boa comunicação* Organização e atenção aos detalhes* Responsabilidade com prazos e processos* Facilidade para trabalhar em equipe Local: Bairro Itaum – Joinville/SC Horário: Segunda a sexta, das ;;;https://t.me/c/1191506085/172739;Empregos Joinville e Região;VAGA ABERTA | AUXILIAR ADMINISTRATIVOEstamos contratando uma pessoa organizada, ágil e com vontade de crescer para atuar com foco em logística, estoque e rotinas administrativas.Atividades:* Emissão de notas fiscais* Controle e organização de estoque* Recebimento de mercadorias e transportadoras* Apoio em demandas administrativas* Atendimento de SAC e suporte ao clienteBuscamos alguém com:* Boa comunicação* Organização e atenção aos detalhes* Responsabilidade com prazos e processos* Facilidade para trabalhar em equipe Local: Bairro Itaum – Joinville/SC Horário: Segunda a sexta, das 08h30 às 17h30, com 1 hora de almoçoSalário: R$ 2.280 + benefícios Vaga presencial em Joinville/SCContato +55 47 99678-9680
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Auxiliar De Produção;;Joinville/SC;América;R$ 2.032,00;;;;;(47) 99287-3060;;* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:Wha;;;;;https://t.me/c/1191506085/172699;Empregos Joinville e Região;VAGA ABERTA – AUXILIAR DE PRODUÇÃO Vagas para todos os turnos Salário: R$ 2.032,00 Benefícios:* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:WhatsApp: (47) 99287-3060
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Auxiliar De Cozinha;A Employer RH está com vagas aber;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172697;Empregos Joinville e Região;A Employer RH está com vagas abertas para a área de gastronomia e açougue. Confira as posições disponíveis: Auxiliar de Cozinha Cozinheiro(a) Açougueiro Oficial de CozinhaInteressados devem entrar em contato ou comparecer ao endereço informado!Agendar: https://tinyurl.com/EMPLOYER18
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Motorista;VENHA FAZER PARTE DO NOSSO TIME;Joinville/SC;;R$ 2.867,59;;;;;47 99752-0227;;;;;;;https://t.me/c/1191506085/172688;Empregos Joinville e Região;VENHA FAZER PARTE DO NOSSO TIMEVaga para MOTORISTAEmpresa oferece Salário fixo - R$ 2.867,59 + R$ 200,00 assiduidadePlano de saúde + Plano odontológico.Refeição sem desconto em folha.Transporte gratuito a partir do Posto Bonessi- na BR101Informações somente pelo Watts 47 99752-0227
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Caixa;;Joinville/SC;Anita Garibaldi;R$ 1.433,60;;;Médio Completo;;(47) 99765-0272;;;Ter entre 18 e 25 anos Ensino médio completo Não estar trabalhando atualmente Possuir transporte próprio para as vagas noturnas Início imediato! Interessou? Entre em contato agora mesmo: (47) 99765-0272 – Luiz;;;;https://t.me/c/1191506085/172685;Empregos Joinville e Região;VAGAS DE ATENDIMENTO AO CLIENTE – INÍCIO IMEDIATO!Está procurando uma oportunidade de emprego? Temos vagas disponíveis em diferentes turnos para você escolher o que melhor se encaixa na sua rotina! Atendimento SAC Receptivo Horários disponíveis: 08h às 14h 14h às 20h 20h às 02h 02h às 08h O que oferecemos: Salário de R$ 1.433,60 Vale-alimentação de R$ 145,00 Bonificação após 3 meses Escala 5x2 Adicional noturno de 25% para os turnos das 20h às 02h e das 02h às 08h Local: Presencial – Anita Garibaldi (BR Call Center) Requisitos: Ter entre 18 e 25 anos Ensino médio completo Não estar trabalhando atualmente Possuir transporte próprio para as vagas noturnas Início imediato! Interessou? Entre em contato agora mesmo: (47) 99765-0272 – Luiz
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;25/06/2026;14:12;Revisora Para O Bairro Bom Retiro;;Joinville/SC;Bom Retiro;;;;;;(47) 997770028;;;;;;;https://t.me/c/1191506085/172679;Empregos Joinville e Região;Contrata-se Revisora para o Bairro Bom Retiro.Contato 47 997770028
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;25/06/2026;14:12;;;Joinville/SC;Pirabeiraba;R$ 11,99;;CLT;Médio Completo;;(47) 98827-1420;;* Vale transporte Alimentação na empresa Após efetivação:• Plano de saúde (Unimed)• Plano odontológico• Convênio farmácia• Bolsa de estudos• Auxílio creche• Estacionamento gratuito *Requisitos:* Experiência com operação de máquinas Ensino médio completo Residir em Pirabeiraba ou proximidades *Ativid;* Experiência com operação de máquinas Ensino médio completo Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles simpl;*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles simples de qualidade• Auxiliar na organização e no abastecimento da máquina Mais informações: (47) 98827-1420;com operação de máquinas Ensino médio completo Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompa;;https://t.me/c/1191506085/172678;Empregos Joinville e Região;VAGA URGENTE: *OPERADOR DE MÁQUINA* Empresa localizada em *Pirabeiraba – Joinville/SC* Vaga temporária com grande chance de efetivação *Vaga masculina* (conforme Art. 390 da CLT) *Salário:* R$ 11,99 por hora (média de R$ 2.637,80/mês) *Horário:* Segunda a sexta-feira, das 05:00 às 14:48 *Benefícios:* Vale transporte Alimentação na empresa Após efetivação:• Plano de saúde (Unimed)• Plano odontológico• Convênio farmácia• Bolsa de estudos• Auxílio creche• Estacionamento gratuito *Requisitos:* Experiência com operação de máquinas Ensino médio completo Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles simples de qualidade• Auxiliar na organização e no abastecimento da máquina Mais informações: (47) 98827-1420
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Vendedora;A BM VAGAS;Joinville/SC;;;;;;erasmo.soares@bmvagas.com;(47) 99287-2025;;;;;;;https://t.me/c/1191506085/172676;Empregos Joinville e Região;A BM VAGAS, em parceria com loja do segmento de moda feminina, acessórios e calçados, seleciona Vendedora para Joinville/SC.Whatsapp: (47) 99287-2025E-mail: erasmo.soares@bmvagas.com
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Auxiliar De Cozinha;A Employer RH está com vagas aber;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172578;Empregos Joinville e Região;A Employer RH está com vagas abertas para a área de gastronomia e açougue. Confira as posições disponíveis: Auxiliar de Cozinha Cozinheiro(a) Açougueiro Oficial de CozinhaInteressados devem entrar em contato ou comparecer ao endereço informado!Agendar: https://tinyurl.com/EMPLOYER18
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Operador De Empilhadeira;;Joinville/SC;Centro;R$ 2.620,60;;CLT;;;;;-Plano de Saúde-Plano Odontológico-Prêmio Assiduidade-Remuneração Variável (PRT)-Previdência Privada-Convênios-Seguro de Vida em Grupo-Associação Atlética Tupy (AAT)-Cartão de Facilidades-Refeição na Empresa-Transporte Fretado ou Vale-Transporte Interessados podem comparecer em nossa agência com a c;;;;;https://t.me/c/1191506085/172571;Empregos Joinville e Região;VAGAS ABERTAS – TUPY Vagas masculinas conforme o art 390 da cltA Tupy está com diversas oportunidades abertas para quem busca crescimento profissional e estabilidade! Vagas Disponíveis:-Operador de Usinagem – 20 vagas-Preparador de Fusão – 15 vagas-Operador de Produção (Macharia) – 25 vagas-Operador de Acabamento – 20 vagas-Operador de Empilhadeira – 15 vagas Salário:A partir de R$ 2.620,60 Benefícios:-Plano de Saúde-Plano Odontológico-Prêmio Assiduidade-Remuneração Variável (PRT)-Previdência Privada-Convênios-Seguro de Vida em Grupo-Associação Atlética Tupy (AAT)-Cartão de Facilidades-Refeição na Empresa-Transporte Fretado ou Vale-Transporte Interessados podem comparecer em nossa agência com a carteira digital de trabalho na QuintaFeira (25/06) às 14h. Rua Rio Branco, 320 – Centro – Joinville/SC
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Auxiliar De Serviços Gerais;;Joinville/SC;Aventureiro;;;;;;(47) 99243-7160;;;;;;;https://t.me/c/1191506085/172563;Empregos Joinville e Região;TEMOS VAGAS EM JOINVILLE! Está em busca de uma nova oportunidade no mercado de trabalho? Confira as vagas disponíveis e venha fazer parte de uma grande equipe! Regiões atendidas: Pirabeiraba, Jardim Paraíso, Aventureiro, Jardim Iririú, Iririú, Bom Retiro, Santo Antônio, Costa e Silva, Nova Brasília e Boa Vista. Zeladora Auxiliar de Serviços Gerais Operador de Empilhadeira Auxiliar de Expedição Ajudante de Caldeireiro Caldeireiro Entre em contato: (47) 99243-7160Agendar:https://tinyurl.com/EMPLOYER15
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Cozinheira;;Joinville/SC;;;;;;;47 999187430;;;ter experiência.Salario + Vale alimentação + assiduidade + alimentação no local e possibilidade de horas extras (ganhos extras)Interessadas entrar em contato via WhatsApp par agendar entrevista 47 999187430.;;;;https://t.me/c/1191506085/172554;Empregos Joinville e Região;Vaga para cozinheira rotativa (cobrir faltas, atestados) em Joinville e região.Necessário ter experiência.Salario + Vale alimentação + assiduidade + alimentação no local e possibilidade de horas extras (ganhos extras)Interessadas entrar em contato via WhatsApp par agendar entrevista 47 999187430.
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Caixa;;Joinville/SC;;;;;Superior Incompleto;;(47) 98407-6945;;;(Ensino Superior incompleto, experiência na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.Agendar: https://tinyurl.com/EMPLOYERJARAGUA3;;na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.Agendar: https://tinyurl.com/EMPLOYERJARAGUA3;;https://t.me/c/1191506085/172553;Empregos Joinville e Região;OPORTUNIDADE EM JOINVILLE!Estamos com 02 vagas abertas para Supervisor de Produção (Setor de Costura) no Presídio de Joinville.Confira os detalhes em!e veja se o seu perfil se encaixa nos requisitos (Ensino Superior incompleto, experiência na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.Agendar: https://tinyurl.com/EMPLOYERJARAGUA3
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Auxiliar De Cozinha;;Joinville/SC;;R$2.120,00;;;;;;;e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h;"Boa comunicação;Salário, Benefícios e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h";;;;https://t.me/c/1191506085/172552;Empregos Joinville e Região;"Estamos Contratando Auxiliar de Cozinha! Pré Requisitos:Boa comunicação;Salário, Benefícios e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h"
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;24/06/2026;21:42;;;Joinville/SC;América;R$ 2.500;;;;;(47) 99124-7376;;;;;com fritadeira e fast-food.Interessados chamar no WhatsApp: 47 99124-7376;;https://t.me/c/1191506085/172551;Empregos Joinville e Região;VAGA – COZINHA Unidade AméricaTerça a domingoHorário: 17h às 23h46Folga toda segunda + 1 domingo no mêsSalário aproximado: R$ 2.500Precisa ter experiência com fritadeira e fast-food.Interessados chamar no WhatsApp: 47 99124-7376
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Operador De Loja;"Agricopel está contratando.
V";Joinville/SC;Atiradores;R$525,00.;segundo turno: 14:00h as 22:20h;;Médio Completo;;(47) 99738-8601;;;ensino médio completo.Somos mercado e conveniência Ponto Mime, localizado no bairro Atiradores.Trabalhamos aos finais de semana com escala.Aos interessados enviar um curriculum watzzap (47) 99738-8601 falar com Daniele / atenção ao entrar em contato ja envie seu currículum para facilitar o atendimen;;;;https://t.me/c/1191506085/172543;Empregos Joinville e Região;Empresa Agricopel está contratando.Vaga operador de loja.Vaga operacional.Horário segundo turno: 14:00h as 22:20h.Vaga feminina.Salário compatível com comércio $ Oferecemos cartão alimentação R$525,00.Necessário ensino médio completo.Somos mercado e conveniência Ponto Mime, localizado no bairro Atiradores.Trabalhamos aos finais de semana com escala.Aos interessados enviar um curriculum watzzap (47) 99738-8601 falar com Daniele / atenção ao entrar em contato ja envie seu currículum para facilitar o atendimento.#Temos #Vaga #Emprego #Comércio #Operador #Loja
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;18:12;Auxiliar De Limpeza;;Joinville/SC;Iririú;;;;;;;;;;;"é um diferencial!) Padeiro Auxiliar de LimpezaO que oferecemos para cuidar de você: Bônus pontualidade; Lanche fresquinho no refeitório da empresa; Programa exclusivo de bem-estar mental; Plano de car";;https://t.me/c/1191506085/172534;Empregos Joinville e Região;"OPORTUNIDADE DE TRABALHO NO IRIRIÚ! Você busca um lugar que realmente valorize o seu bem-estar e o seu futuro? A Confeitaria Semente da Terra está crescendo e abrindo novas vagas para fazer parte da nossa família de 30 anos de tradição! Se você mora no Iririú ou proximidades e busca um ambiente de trabalho acolhedor e com oportunidades reais, essa chance é sua. VAGAS ABERTAS: ‍ Atendente (Experiência é um diferencial!) Padeiro Auxiliar de LimpezaO que oferecemos para cuidar de você: Bônus pontualidade; Lanche fresquinho no refeitório da empresa; Programa exclusivo de bem-estar mental; Plano de carreira estruturado para você crescer com a gente! Quer trabalhar pertinho de casa e em uma das confeitarias mais queridas da região? Não perca tempo! Se candidate agora pelo link oficial:https://dev.prymia.com.br/vagas-abertas/confeitaria-semente-da-terra"
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;18:12;Vendedor;;Joinville/SC;;R$ 3.000,00;- Segunda a sexta-feira, 07h42 às 12h00 e 13h30 às 18h00;;;;(46) 99131-6468;;;;;;;https://t.me/c/1191506085/172520;Empregos Joinville e Região;Vaga para Vendedor(a) Externo em distribuidora do setor moveleiro em Joinville e regiãoRemuneração:+ R$ 3.000,00 Salário fixo.+ Comissões sobre vendas.*+ R$ 400,00 Vale-alimentação.+ Veículo fornecido pela empresa.+ Celular corporativo.+ Despesas de alimentação custeadas pela empresa.*Regras e valores serão apresentados na entrevista final.Horário:- Segunda a sexta-feira, 07h42 às 12h00 e 13h30 às 18h00. + informações no WhatsApp da ROCK JOBS (46) 99131-6468
