RELATÓRIO DE VAGAS - JOINVILLE/SC
Período: 01/06/2026 a 29/06/2026
Gerado em: 29/06/2026 13:44
Total de vagas: 225
Administrativo: 9; | Operacional: 105; | Técnico: 6; | Geral: 105


🔴 ÚLTIMOS 7 DIAS - 49 vagas

Período;Categoria;Mês Ref.;Data;Hora;Cargo;Empresa;Cidade;Bairro;Salário;Horário;Contrato;Escolaridade;Email;WhatsApp;Telefone;Benefícios;Requisitos;Atividades;Experiência;Link Vaga;Link Mensagem;Fonte;Descrição
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Vagas Abertas;Privada;Joinville/SC;Centro;R$ 2.620,60;;CLT;;;;;-Plano de Saúde-Plano Odontológico-Prêmio Assiduidade-Remuneração Variável (PRT)-Previdência Privada-Convênios-Seguro de Vida em Grupo-Associação Atlética Tupy (AAT)-Cartão de Facilidades-Refeição na Empresa-Transporte Fretado ou Vale-Transporte Interessados podem comparecer em nossa agência com a c;;;;;https://t.me/c/1191506085/172571;Empregos Joinville e Região;VAGAS ABERTAS – TUPY Vagas masculinas conforme o art 390 da cltA Tupy está com diversas oportunidades abertas para quem busca crescimento profissional e estabilidade! Vagas Disponíveis:-Operador de Usinagem – 20 vagas-Preparador de Fusão – 15 vagas-Operador de Produção (Macharia) – 25 vagas-Operador de Acabamento – 20 vagas-Operador de Empilhadeira – 15 vagas Salário:A partir de R$ 2.620,60 Benefícios:-Plano de Saúde-Plano Odontológico-Prêmio Assiduidade-Remuneração Variável (PRT)-Previdência Privada-Convênios-Seguro de Vida em Grupo-Associação Atlética Tupy (AAT)-Cartão de Facilidades-Refeição na Empresa-Transporte Fretado ou Vale-Transporte Interessados podem comparecer em nossa agência com a carteira digital de trabalho na QuintaFeira (25/06) às 14h. Rua Rio Branco, 320 – Centro – Joinville/SC
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Temos Vagas Em;;Joinville/SC;Aventureiro;;;;;;(47) 99243-7160;;;;;;;https://t.me/c/1191506085/172563;Empregos Joinville e Região;TEMOS VAGAS EM JOINVILLE! Está em busca de uma nova oportunidade no mercado de trabalho? Confira as vagas disponíveis e venha fazer parte de uma grande equipe! ✨ Regiões atendidas: Pirabeiraba, Jardim Paraíso, Aventureiro, Jardim Iririú, Iririú, Bom Retiro, Santo Antônio, Costa e Silva, Nova Brasília e Boa Vista.✅ Zeladora✅ Auxiliar de Serviços Gerais✅ Operador de Empilhadeira✅ Auxiliar de Expedição✅ Ajudante de Caldeireiro✅ Caldeireiro Entre em contato: (47) 99243-7160Agendar:https://tinyurl.com/EMPLOYER15
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Vaga Para Cozinheira;;Joinville/SC;;;;;;;47 999187430;;;ter experiência.Salario + Vale alimentação + assiduidade + alimentação no local e possibilidade de horas extras (ganhos extras)Interessadas entrar em contato via WhatsApp par agendar entrevista 47 999187430.;;;;https://t.me/c/1191506085/172554;Empregos Joinville e Região;Vaga para cozinheira rotativa (cobrir faltas, atestados) em Joinville e região.Necessário ter experiência.Salario + Vale alimentação + assiduidade + alimentação no local e possibilidade de horas extras (ganhos extras)Interessadas entrar em contato via WhatsApp par agendar entrevista 47 999187430.
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Oportunidade Em Joinville;;Joinville/SC;;;;;Superior Incompleto;;(47) 98407-6945;;;(Ensino Superior incompleto, experiência na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.✔Agendar: https://tinyurl.com/EMPLOYERJARAGUA3;;na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.✔Agendar: https://tinyurl.com/EMPLOYERJARAGUA3;;https://t.me/c/1191506085/172553;Empregos Joinville e Região;OPORTUNIDADE EM JOINVILLE!Estamos com 02 vagas abertas para Supervisor de Produção (Setor de Costura) no Presídio de Joinville.Confira os detalhes em!e veja se o seu perfil se encaixa nos requisitos (Ensino Superior incompleto, experiência na função e CNH B). Interessados, entrem em contato pelo WhatsApp: (47) 98407-6945.✔Agendar: https://tinyurl.com/EMPLOYERJARAGUA3
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Estamos Contratando Auxiliar;Estamos;Joinville/SC;;R$2.120,00;;;;;;;e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h;"Boa comunicação;Salário, Benefícios e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h";;;;https://t.me/c/1191506085/172552;Empregos Joinville e Região;"Estamos Contratando Auxiliar de Cozinha! Pré Requisitos:Boa comunicação;Salário, Benefícios e Informações:R$2.120,00 + ComissãoRefeição, Vale Transporte e Plano de Carreira.Horários Disponíveis:08h às 16h2014h10 às 22h30Escala 6x1Compareça no local para entrevista 24/06 - 9h"
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;24/06/2026;21:42;Cozinha Unidade Américaterça;com fritadeira e fast-food;Joinville/SC;América;R$ 2.500;;;;;(47) 99124-7376;;;;;com fritadeira e fast-food.Interessados chamar no WhatsApp: 47 99124-7376;;https://t.me/c/1191506085/172551;Empregos Joinville e Região;VAGA – COZINHA Unidade AméricaTerça a domingoHorário: 17h às 23h46Folga toda segunda + 1 domingo no mêsSalário aproximado: R$ 2.500Precisa ter experiência com fritadeira e fast-food.Interessados chamar no WhatsApp: 47 99124-7376
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Operador De Loja;Agricopel está contratando;Joinville/SC;Atiradores;R$525,00.;segundo turno: 14:00h as 22:20h;;Médio Completo;;(47) 99738-8601;;;ensino médio completo.Somos mercado e conveniência Ponto Mime, localizado no bairro Atiradores.Trabalhamos aos finais de semana com escala.Aos interessados enviar um curriculum watzzap (47) 99738-8601 falar com Daniele / atenção ao entrar em contato ja envie seu currículum para facilitar o atendimen;;;;https://t.me/c/1191506085/172543;Empregos Joinville e Região;Empresa Agricopel está contratando.Vaga operador de loja.Vaga operacional.Horário segundo turno: 14:00h as 22:20h.Vaga feminina.Salário compatível com comércio $ Oferecemos cartão alimentação R$525,00.Necessário ensino médio completo.Somos mercado e conveniência Ponto Mime, localizado no bairro Atiradores.Trabalhamos aos finais de semana com escala.Aos interessados enviar um curriculum watzzap (47) 99738-8601 falar com Daniele / atenção ao entrar em contato ja envie seu currículum para facilitar o atendimento.#Temos #Vaga #Emprego #Comércio #Operador #Loja
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;18:12;Oportunidade De Trabalho No;;Joinville/SC;Iririú;;;;;;;;;;;"é um diferencial!) Padeiro Auxiliar de LimpezaO que oferecemos para cuidar de você: Bônus pontualidade; Lanche fresquinho no refeitório da empresa; Programa exclusivo de bem-estar mental; Plano de car";;https://t.me/c/1191506085/172534;Empregos Joinville e Região;"✨ OPORTUNIDADE DE TRABALHO NO IRIRIÚ! Você busca um lugar que realmente valorize o seu bem-estar e o seu futuro? A Confeitaria Semente da Terra está crescendo e abrindo novas vagas para fazer parte da nossa família de 30 anos de tradição! Se você mora no Iririú ou proximidades e busca um ambiente de trabalho acolhedor e com oportunidades reais, essa chance é sua. VAGAS ABERTAS: ‍ Atendente (Experiência é um diferencial!) Padeiro Auxiliar de LimpezaO que oferecemos para cuidar de você: Bônus pontualidade; Lanche fresquinho no refeitório da empresa; Programa exclusivo de bem-estar mental; Plano de carreira estruturado para você crescer com a gente! Quer trabalhar pertinho de casa e em uma das confeitarias mais queridas da região? Não perca tempo!➡ Se candidate agora pelo link oficial:https://dev.prymia.com.br/vagas-abertas/confeitaria-semente-da-terra"
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;18:12;Vaga Para Vendedor;;Joinville/SC;;R$ 3.000,00;- Segunda a sexta-feira, 07h42 às 12h00 e 13h30 às 18h00;;;;(46) 99131-6468;;;;;;;https://t.me/c/1191506085/172520;Empregos Joinville e Região;✅ Vaga para Vendedor(a) Externo em distribuidora do setor moveleiro em Joinville e regiãoRemuneração:+ R$ 3.000,00 Salário fixo.+ Comissões sobre vendas.*+ R$ 400,00 Vale-alimentação.+ Veículo fornecido pela empresa.+ Celular corporativo.+ Despesas de alimentação custeadas pela empresa.*Regras e valores serão apresentados na entrevista final.Horário:- Segunda a sexta-feira, 07h42 às 12h00 e 13h30 às 18h00. + informações no WhatsApp da ROCK JOBS (46) 99131-6468
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;24/06/2026;18:12;Oportunidade Para Início;Seguro de vida.;Joinville/SC;Distrito Industrial;R$ 2.440,00.;Segunda a sexta-feira, das 05h00 às 14h18;;Médio Completo;;(41) 99845-1581;;Alimentação na empresa. Vale-transporte (fretado). Seguro de vida. Prêmio de assiduidade de R$ 60,00. Bônus presença de R$ 450,00. Plano de saúde. Requisitos: Ensino médio completo ou cursando. Será considerado diferencial estar cursando ou possuir formação técnica em Mecânica, Ferramentaria ou área;Ensino médio completo ou cursando. Será considerado diferencial estar cursando ou possuir formação técnica em Mecânica, Ferramentaria ou áreas correlatas. Contato WhatsApp: (41) 99845-1581;;;;https://t.me/c/1191506085/172509;Empregos Joinville e Região;OPORTUNIDADE PARA INÍCIO IMEDIATO - AUXILIAR DE USINAGEMLocal: Distrito Industrial, Joinville – SC. Operar furadeiras de bancada e rosqueadeiras automatizadas no acabamento de peças usinadas, conforme especificações e orientações recebidas. Abastecer os reservatórios das rosqueadeiras automatizadas e acompanhar a qualidade da produção. Realizar a lavagem das peças. Separar, contar, pesar, embalar e identificar as embalagens dos produtos acabados. Horários: 1º Turno: Segunda a sexta-feira, das 05h00 às 14h18. 2º Turno: Segunda a sexta-feira, das 14h18 às 23h18. Salário: R$ 2.440,00. Benefícios: Alimentação na empresa. Vale-transporte (fretado). Seguro de vida. Prêmio de assiduidade de R$ 60,00. Bônus presença de R$ 450,00. Plano de saúde. Requisitos: Ensino médio completo ou cursando. Será considerado diferencial estar cursando ou possuir formação técnica em Mecânica, Ferramentaria ou áreas correlatas. Contato WhatsApp: (41) 99845-1581
ÚLTIMOS 7 DIAS;Técnico;JUNE/2026;24/06/2026;18:12;Vagas No Setor;Vendedora de Suplementos em Pato Branco;Joinville/SC;;;;;;;(46) 99131-6468;;;;;;;https://t.me/c/1191506085/172504;Empregos Joinville e Região;Temos 18 vagas no setor Comercial✅ Vendas internasVendedor(a) em Coprodutora de MKT em Pato BrancoVendedor(a) em Ótica em Francisco BeltrãoVendedora em Clínica de Pato BrancoVendedora em Clínica em BlumenauVendedora de Suplementos em Pato BrancoVendedora de Dermocosméticos em MaringáVendedora na Zassi Uniformes em Pato Branco✅ Vendas externasVendedor(a) para Distribuidora em Joinville e RegiãoVendedor(a) de planejados em Pato Branco e Região✅ Atendente de CaixaAtendente de caixa no PB Shopping em Pato BrancoAtendente de caixa em Casa de Pães em Pato Branco✅ Consultor / EspecialistaConsultora de Relacionamento em Barbearia de Pato BrancoConsultora de Vendas em Clínica de BlumenauExecutivo(a) Comercial de tecnologia em Pato Branco✅ Assessoria em setor ComercialAssessor(a) Comercial em Assessoria de Pato BrancoAssistente Comercial em Associação de Pato BrancoAssistente Comercial em JoinvilleAssistente Comercial em Pato BrancoChama a gente no WhatsApp (46) 99131-6468 ROCK JOBS Assessoria d
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;24/06/2026;18:12;Vaga Aberta;com vendas;Joinville/SC;Iririú;;;;Médio Completo;;(47) 8492-0040;;;;;com vendas, atendimento ao público ou telemarketing e gosta de desafios, essa oportunidade é para você! O que você vai fazer:✅ Realizar negociações com clientes via WhatsApp, e-mail e telefone✅ Atuar ;;https://t.me/c/1191506085/172498;Empregos Joinville e Região;VAGA ABERTA: NEGOCIADOR(A) Bairro Iririú - Joinville/SC Se você tem experiência com vendas, atendimento ao público ou telemarketing e gosta de desafios, essa oportunidade é para você! O que você vai fazer:✅ Realizar negociações com clientes via WhatsApp, e-mail e telefone✅ Atuar com atendimento ativo e receptivo✅ Acompanhar acordos e processos de cobrança✅ Atualizar informações no sistema Buscamos pessoas que tenham:✔ Ensino médio completo✔ Experiência com vendas, atendimento ou telemarketing✔ Boa comunicação e poder de negociação✔ Foco em metas e resultados O que oferecemos: Vale alimentação/refeição Vale transporte Plano de saúde Convênio odontológico Parcerias com instituições de ensino Academia Global Plano de desenvolvimento (PDI) Oportunidade real de crescimento Carga horária mensal: 180 horas Horário de trabalho: Segunda a quinta-feira: das 09h48 às 18h00 Sexta-feira: das 08h30 às 16h42 Entre em contato:(47) 8492-0040
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;18:12;Bm Vagas;;Joinville/SC;;;;;;erasmo.soares@bmvagas.com;(47) 99287-2025;;;;;;;https://t.me/c/1191506085/172494;Empregos Joinville e Região;A BM VAGAS, em parceria com loja do segmento de moda feminina, acessórios e calçados, seleciona Vendedora para Joinville/SC.Whatsapp: (47) 99287-2025E-mail: erasmo.soares@bmvagas.com
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;23/06/2026;11:49;Vaga Aberta;;Joinville/SC;Zona Sul;R$ 3.300,00;;;Médio Completo;;;;"*✔ Fretado ou auxílio combustível✔ Vale-refeição✔ Plano de saúde✔ Plano odontológico✔ Seguro de vida✔ Prêmio de assiduidade de **R$ 150,00/mês** *Requisitos:*• Ensino Médio completo;• Experiência em almoxarifado e/ou expedição;• Vivência como líder ou facilitador será um diferencial;• Conhecimento e";"*• Ensino Médio completo;• Experiência em almoxarifado e/ou expedição;• Vivência como líder ou facilitador será um diferencial;• Conhecimento em WMS;• Desejável residir na Zona Sul de Joinville ou em Araquari. *Interessados, entrar em contato com Jaqueline pelo WhatsApp: (47) 9 8821-4528.*";;"em almoxarifado e/ou expedição;• Vivência como líder ou facilitador será um diferencial;• Conhecimento em WMS;• Desejável residir na Zona Sul de Joinville ou em Araquari. *Interessados, entrar em cont";;https://t.me/c/1191506085/172259;Empregos Joinville e Região;"*VAGA ABERTA | FACILITADOR DE ALMOXARIFADO* *Local:* Araquari/SC *(preferencialmente residentes na Zona Sul de Joinville ou Araquari)* *Salário inicial:* **R$ 3.300,00** *Horário:* Segunda a sexta, das **05h às 14h** *Benefícios:*✔ Fretado ou auxílio combustível✔ Vale-refeição✔ Plano de saúde✔ Plano odontológico✔ Seguro de vida✔ Prêmio de assiduidade de **R$ 150,00/mês** *Requisitos:*• Ensino Médio completo;• Experiência em almoxarifado e/ou expedição;• Vivência como líder ou facilitador será um diferencial;• Conhecimento em WMS;• Desejável residir na Zona Sul de Joinville ou em Araquari. *Interessados, entrar em contato com Jaqueline pelo WhatsApp: (47) 9 8821-4528.*"
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;23/06/2026;11:49;Vaga Imperdivel;;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172258;Empregos Joinville e Região;VAGA IMPERDIVEL: Auxiliar de Expedição e RecebimentoInteressados, entrar em contato com Jaqueline pelo WhatsApp: (47) 9 8821-4528.
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;23/06/2026;11:48;Para Camareira Em Empresa Localizada No Centro De Joinville;localizada no Centro de Joinville;Joinville/SC;Centro;R$ 2.100,00;;;Fundamental Completo;;(47) 9923-3891;;• Vale-alimentação de R$ 550,00• Vale-transporte (desconto de 6% do salário-base)• Prêmio de produtividade de R$ 200,00 (mediante critérios)• Gympass após 3 meses• Zenklub após 3 meses• Café da tarde todas as sextas-feiras• Plano de saúde Unimed com coparticipação após 3 meses• Premiação semestral p;• Ensino Fundamental completo• Mínimo de 1 ano de experiência Benefícios:• Vale-alimentação de R$ 550,00• Vale-transporte (desconto de 6% do salário-base)• Prêmio de produtividade de R$ 200,00 (mediante critérios)• Gympass após 3 meses• Zenklub após 3 meses• Café da tarde todas as sextas-feiras• Pla;• Limpeza e organização das áreas sociais e de colaboradores• Limpeza e arrumação de apartamentos• Conservação dos apartamentos vagos• Organização dos carrinhos de limpeza• Registro de objetos esquecidos pelos hóspedes• Abertura de ordens de serviço pelo aplicativo (quando necessário)• Apoio no café da manhã e lavagem de louças quando solicitado• Utilização correta de EPIs e produtos de limpeza• D;Benefícios:• Vale-alimentação de R$ 550,00• Vale-transporte (desconto de 6% do salário-base)• Prêmio de produtividade de R$ 200,00 (mediante critérios)• Gympass após 3 meses• Zenklub após 3 meses• Caf;;https://t.me/c/1191506085/172257;Empregos Joinville e Região;VAGA DE EMPREGO – CAMAREIRA | JOINVILLE (CENTRO)A RHBrasil está com oportunidade para Camareira em empresa localizada no Centro de Joinville. Salário: R$ 2.100,00 Horário de trabalho:• Escala 6x1• Das 9h às 17h20 Requisitos:• Ensino Fundamental completo• Mínimo de 1 ano de experiência Benefícios:• Vale-alimentação de R$ 550,00• Vale-transporte (desconto de 6% do salário-base)• Prêmio de produtividade de R$ 200,00 (mediante critérios)• Gympass após 3 meses• Zenklub após 3 meses• Café da tarde todas as sextas-feiras• Plano de saúde Unimed com coparticipação após 3 meses• Premiação semestral por qualidade Principais atividades:• Limpeza e organização das áreas sociais e de colaboradores• Limpeza e arrumação de apartamentos• Conservação dos apartamentos vagos• Organização dos carrinhos de limpeza• Registro de objetos esquecidos pelos hóspedes• Abertura de ordens de serviço pelo aplicativo (quando necessário)• Apoio no café da manhã e lavagem de louças quando solicitado• Utilização correta 
